genotype,shocked,trackid,learningscore
dgrp105,true,5,0.004591922400281667
dgrp105,true,6,0.03926540383301064
dgrp105,true,7,0.012321510876915132
dgrp105,true,8,0.01568882899813412
dgrp105,true,10,0.008122365743716942
dgrp105,true,11,0.0172213623725265
dgrp105,true,12,0.01049206922123283
dgrp105,true,13,0.022223077864722357
dgrp105,true,14,0.08767534429254198
dgrp105,true,15,0.06877054123952617
dgrp105,true,16,0.07819111899797146
dgrp105,true,41,0.07893854653904211
dgrp105,true,42,0.04636878317524604
dgrp105,true,43,0.058661743877593736
dgrp105,true,44,0.038506040658603996
dgrp105,true,45,0.02890172769063551
dgrp105,true,46,0.05025758657910348
dgrp105,true,47,0.029707358978816684
dgrp105,true,48,0.0022247320051462516
dgrp105,true,9,0.0621583479694002
dgrp109,false,33,0.006475021627018768
dgrp109,false,34,0.030989621278935925
dgrp109,false,35,0.008273591063401753
dgrp109,false,36,0.012586669071079776
dgrp109,false,37,0.041197159308897335
dgrp109,false,38,0.02438220987351944
dgrp109,false,39,0.025484007347002485
dgrp109,false,40,0.023799559797402836
dgrp109,false,49,0.05333478968751895
dgrp109,false,50,0.022495733505449284
dgrp109,false,51,0.002222252480212822
dgrp109,false,52,0.004941116110117438
dgrp109,false,53,0.05405621133951516
dgrp109,false,54,0.026676692714638656
dgrp109,false,55,0.02757594460926091
dgrp109,false,56,0.020537026669017022
dgrp109,false,41,0.007562309578900667
dgrp109,false,42,0.0047125380732957745
dgrp109,false,43,0.02351412168311559
dgrp109,false,44,0.01654415542254059
dgrp109,false,45,0.00786698552054263
dgrp109,false,46,0.015013919908172496
dgrp109,false,47,0.02121168615966068
dgrp109,false,48,0.015463911583002782
dgrp109,false,57,0.029264971915629573
dgrp109,false,58,0.046837202555020135
dgrp109,false,59,0.003943940829489179
dgrp109,false,60,0.023302798188300222
dgrp109,false,61,0.002439198589265834
dgrp109,false,62,0.004494567475529787
dgrp109,false,63,0.014694850269262733
dgrp109,false,64,0.0019314859294185804
dgrp109,true,1,0.007305738496210912
dgrp109,true,17,0.03341874785134441
dgrp109,true,18,0.0021268287281890064
dgrp109,true,19,0.005301349869882177
dgrp109,true,2,0.002328627090193297
dgrp109,true,20,0.009859368607548408
dgrp109,true,21,0.0013092774515112982
dgrp109,true,22,0.02428454573195188
dgrp109,true,23,0.0065530797568027765
dgrp109,true,24,0.03287635161183247
dgrp109,true,3,0.006275005497654529
dgrp109,true,4,0.012358244834036358
dgrp109,true,5,0.0019826796484727627
dgrp109,true,6,0.04385171208506139
dgrp109,true,7,0.005353926816692084
dgrp109,true,8,0.004784071417799324
dgrp109,true,10,0.03120348290681854
dgrp109,true,11,0.013285037816003986
dgrp109,true,12,0.00603820443154271
dgrp109,true,13,0.006824189670820963
dgrp109,true,14,0.00218022652220623
dgrp109,true,15,0.015140398831739649
