genotype X 2L 2R 3L 3R
RAL_502 1,832(1.97) 165,237(66.63) 1,698(1.31) 9,754(6.36) 1,428(1.00)
RAL_508 1,744(1.88) 1,577(1.05) 1,747(1.33) 1,925(1.23) 1,485(1.02)
RAL_509 1,302(1.44) 1,579(1.03) 1,557(1.20) 1,698(1.08) 1,296(0.90)
RAL_513 1,540(1.68) 1,485(1.00) 1,746(1.33) 10,259(6.59) 1,401(0.99)
RAL_517 7,398(7.69) 9,212(6.01) 8,501(6.41) 10,380(6.27) 8,987(6.10)
RAL_531 1,754(1.95) 1,757(1.17) 1,534(1.19) 1,791(1.18) 1,225(0.89)
RAL_535 1,114(1.21) 1,524(1.03) 1,892(1.49) 1,376(0.92) 1,282(0.89)
RAL_555 1,498(1.66) 1,411(0.92) 1,435(1.16) 1,265(0.85) 1,101(0.80)
RAL_563 2,129(2.37) 136,230(63.61) 114,565(63.48) 2,316(1.56) 2,437(1.70)
RAL_589 1,944(2.33) 3,806(2.75) 2,213(1.83) 2,334(1.64) 2,290(1.66)
RAL_591 1,018(1.15) 1,407(0.96) 1,232(0.99) 1,227(0.82) 1,135(0.80)
RAL_595 1,338(1.57) 2,166(1.12) 1,570(1.25) 1,683(1.18) 1,658(1.20)
RAL_639 1,726(1.91) 4,157(2.79) 1,330(1.07) 1,353(0.91) 1,295(0.93)
RAL_642 1,238(1.36) 1,247(0.87) 1,885(1.24) 1,160(0.78) 1,057(0.75)
RAL_646 1,011(1.14) 1,155(0.80) 935(0.77) 991(0.69) 2,004(1.04)
RAL_703 1,221(1.37) 1,088(0.72) 1,081(0.87) 1,350(0.89) 3,522(2.52)
RAL_705 1,204(1.34) 1,263(0.84) 1,218(0.98) 1,169(0.77) 999(0.72)
RAL_707 1,146(1.27) 1,280(0.85) 1,511(1.17) 8,048(5.34) 1,080(0.78)
RAL_712 993(1.12) 1,171(0.81) 1,233(1.00) 1,089(0.73) 921(0.65)
RAL_714 1,352(1.49) 46,938(28.06) 1,498(1.16) 1,449(0.95) 1,065(0.75)
RAL_716 1,017(1.19) 1,093(0.77) 1,257(1.01) 1,081(0.73) 1,041(0.73)
RAL_721 931(1.05) 1,002(0.69) 1,100(0.89) 1,610(0.89) 1,035(0.73)
RAL_727 2,425(2.57) 2,787(1.79) 2,330(1.80) 2,539(1.63) 2,266(1.54)
RAL_730 543(0.69) 402(0.30) 516(0.45) 479(0.36) 344(0.26)
RAL_732 1,172(1.27) 1,278(0.84) 1,384(1.09) 19,211(11.92) 145,664(66.35)
RAL_737 1,966(2.15) 1,835(1.23) 15,284(11.13) 76,942(42.37) 10,697(7.29)
RAL_738 1,893(2.03) 47,463(28.38) 4,912(3.78) 27,198(15.98) 143,296(68.62)
RAL_757 2,133(2.21) 2,272(1.44) 2,057(1.59) 2,156(1.39) 2,021(1.41)
RAL_761 1,138(1.27) 1,190(0.83) 1,786(1.40) 1,417(0.95) 1,282(0.91)
RAL_765 1,160(1.27) 1,298(0.88) 1,328(1.05) 1,321(0.87) 1,243(0.86)
RAL_774 1,393(1.58) 29,669(19.80) 43,042(30.38) 5,412(3.65) 7,623(5.47)
RAL_776 1,101(1.26) 42,204(26.72) 1,442(1.15) 1,642(1.07) 2,792(1.43)
RAL_783 1,386(1.54) 1,344(0.94) 1,490(1.19) 1,442(0.96) 1,278(0.89)
RAL_786 1,289(1.47) 1,228(0.83) 1,539(1.20) 1,332(0.89) 2,054(1.14)
RAL_787 1,310(1.46) 1,369(0.93) 17,806(13.23) 1,289(0.85) 9,491(6.56)
RAL_790 1,289(1.42) 1,348(0.92) 1,249(1.00) 1,176(0.77) 1,122(0.77)
RAL_796 1,540(1.61) 48,436(29.73) 13,974(10.52) 1,800(1.14) 1,343(0.92)
RAL_799 1,246(1.34) 1,255(0.87) 1,359(1.08) 1,050(0.70) 1,009(0.71)
RAL_801 836(0.99) 1,037(0.72) 663(0.55) 619(0.43) 685(0.48)
RAL_802 904(1.07) 97,887(53.99) 35,719(27.66) 31,647(20.73) 102,825(52.48)
RAL_804 1,300(1.45) 32,094(19.96) 21,496(15.64) 1,475(0.97) 16,797(11.29)
RAL_805 1,534(1.63) 1,584(1.06) 1,582(1.22) 1,652(1.10) 1,507(1.05)
RAL_808 861(1.00) 998(0.67) 1,054(0.85) 15,466(9.98) 23,151(16.41)
RAL_810 1,789(1.91) 1,798(1.20) 1,586(1.23) 4,643(3.01) 1,368(0.98)
RAL_812 1,644(1.83) 147,108(64.08) 3,792(2.58) 1,312(0.89) 1,371(0.98)
RAL_818 1,402(1.58) 1,363(0.91) 1,585(1.26) 34,862(21.42) 19,136(13.04)
RAL_820 1,996(2.23) 2,862(1.92) 2,491(1.99) 2,977(2.01) 2,192(1.62)
RAL_822 1,621(1.87) 7,203(5.05) 2,629(2.13) 11,387(7.59) 12,534(8.87)
RAL_832 1,350(1.58) 1,059(0.73) 914(0.76) 972(0.67) 800(0.59)
RAL_837 1,642(1.74) 2,149(1.08) 1,494(1.16) 1,617(1.06) 1,255(0.91)
RAL_852 3,109(3.25) 2,856(1.91) 3,979(2.62) 3,251(2.06) 3,049(2.06)
RAL_855 1,826(2.02) 1,225(0.83) 1,194(0.97) 1,427(0.95) 71,603(44.62)
RAL_857 2,036(2.25) 24,783(15.21) 134,221(63.57) 7,124(4.63) 20,620(13.64)
RAL_859 1,111(1.25) 928(0.66) 1,295(1.03) 1,217(0.81) 1,094(0.77)
RAL_861 866(1.02) 817(0.56) 984(0.81) 23,771(15.82) 694(0.51)
RAL_879 770(0.93) 938(0.68) 892(0.72) 804(0.55) 701(0.51)
RAL_882 1,597(1.78) 1,767(1.20) 1,704(1.34) 1,892(1.26) 1,734(1.21)
RAL_884 918(1.01) 984(0.66) 1,104(0.86) 5,263(3.50) 141,234(65.68)
RAL_887 1,462(1.67) 1,816(1.20) 3,757(2.94) 1,300(0.87) 1,185(0.83)
RAL_890 1,688(1.90) 1,622(1.08) 1,584(1.23) 13,412(8.61) 1,241(0.85)
RAL_892 1,850(1.94) 1,928(1.26) 1,776(1.37) 1,771(1.11) 10,999(7.38)
RAL_894 1,411(1.59) 2,084(1.10) 1,343(1.04) 1,122(0.74) 1,178(0.84)
RAL_897 2,052(2.25) 2,512(1.60) 2,355(1.81) 2,376(1.56) 2,274(1.54)
RAL_907 3,498(3.88) 1,668(1.12) 1,468(1.18) 35,671(21.49) 124,674(64.14)
RAL_908 2,221(2.38) 2,065(1.39) 12,326(9.37) 2,058(1.34) 1,622(1.16)
RAL_911 1,044(1.25) 1,360(0.93) 1,196(0.96) 1,126(0.75) 6,843(4.83)}
