genotype,shocked,trackid,new_learningscore
dgrp373,false,30,0.06055045819718314
dgrp373,false,31,-0.37025967567090456
dgrp373,false,32,0.3184873964883156
dgrp373,false,57,0.049022338437330705
dgrp373,false,58,-0.10851485655277435
dgrp373,false,59,0.1297888437624158
dgrp373,false,60,-0.2206884600633645
dgrp373,false,61,0.12108238225807377
dgrp373,false,62,-0.06700337975523259
dgrp373,false,63,-0.22682655767234008
dgrp373,false,64,0.16067985811083893
dgrp373,true,1,0.09946880401239165
dgrp373,true,2,-0.08054390728130034
dgrp373,true,3,0.1775064623061154
dgrp373,true,33,-0.13353720883255074
dgrp373,true,34,-0.22380517812375006
dgrp373,true,35,-0.06656519509759645
dgrp373,true,36,-0.6343203638997704
dgrp373,true,37,0.20781426300796474
dgrp373,true,38,-0.029826670069392804
dgrp373,true,39,0.09761002468080691
dgrp373,true,4,-0.373809921207662
dgrp373,true,40,-0.11276085816233414
dgrp373,true,5,0.47482923754701717
dgrp373,true,6,0.3333130335463385
dgrp373,true,7,-0.6084804753552164
dgrp373,true,8,-0.042567826441527984
dgrp373,true,10,0.20912396541354056
dgrp373,true,11,0.17300917819235445
dgrp373,true,12,-0.1780598037224099
dgrp373,true,13,0.6838651757434043
dgrp373,true,14,-0.2612454592858387
dgrp373,true,15,-0.42179960498370034
dgrp373,true,16,0.2579835085741924
dgrp373,true,41,-0.11968613177193343
dgrp373,true,42,-0.041013288518607735
dgrp373,true,43,0.5793117694702161
dgrp373,true,44,0.002993234757718049
dgrp373,true,45,0.08890389368551452
dgrp373,true,46,0.2968906413659125
dgrp373,true,47,-0.04290536225974533
dgrp373,true,48,0.6534607196825449
dgrp373,true,9,0.5139375574778762
dgrp91,false,17,-0.2606616630149381
dgrp91,false,18,-0.0
dgrp91,false,19,-0.250235935674386
dgrp91,false,20,0.35592179429677745
dgrp91,false,21,0.1086917237347022
dgrp91,false,22,0.06391826910144537
dgrp91,false,23,-0.09722106382512871
dgrp91,false,24,-0.151782667469973
dgrp91,false,49,0.27696419286706137
dgrp91,false,50,0.16697611924836667
dgrp91,false,51,-0.11212121212121212
dgrp91,false,52,0.44575740377664463
dgrp91,false,53,-0.5254886380119492
dgrp91,false,54,-0.22129924264712136
dgrp91,false,55,-0.11111172254926394
dgrp91,false,56,-0.12662155962060828
dgrp91,false,25,-0.263284162524337
dgrp91,false,26,-0.07254020990029166
dgrp91,false,27,-0.13049096727975146
dgrp91,false,28,0.20944941709306547
dgrp91,false,29,-0.3070985176929855
dgrp91,false,30,-0.07785623961582329
dgrp91,false,31,0.19422535927041001
dgrp91,false,32,-0.5822045815533148
dgrp91,false,57,-0.35338073759002564
dgrp91,false,58,0.21308980437142783
dgrp91,false,59,0.38719457549918107
dgrp91,false,60,0.7227659176184276
dgrp91,false,61,-0.3742470719032569
dgrp91,false,62,-0.2943401588495752
dgrp91,false,63,-0.2707348813293492
dgrp91,false,64,-0.472296520675416
dgrp91,true,1,-0.1313126300242211
dgrp91,true,2,-0.07902772067840841
dgrp91,true,3,0.22852820950180242
dgrp91,true,33,0.12238672731662842
dgrp91,true,34,0.15323404038340296
dgrp91,true,35,-0.0035704411190507768
dgrp91,true,36,0.183651384029217
dgrp91,true,37,0.15191066517248547
dgrp91,true,38,-0.5569718453885273
dgrp91,true,39,0.08052629582254944
dgrp91,true,4,-0.6567400653454454
dgrp91,true,40,-0.2188865818445225
dgrp91,true,5,-0.5347975301004401
dgrp91,true,6,0.3110722740003692
dgrp91,true,7,-0.08219405577162413
dgrp91,true,8,-0.31868455189268163
dgrp91,true,10,-0.20332684921098287
dgrp91,true,11,-0.5323352051001444
dgrp91,true,12,0.4767954873899552
dgrp91,true,13,0.11455133209048413
dgrp91,true,14,0.09478511033463911
dgrp91,true,15,0.10607905543680066
dgrp91,true,16,0.07840310069226211
dgrp91,true,41,-0.6012722567570519
dgrp91,true,42,-0.16862069416874356
dgrp91,true,43,-0.107178288550084
dgrp91,true,44,-0.0976925282851041
dgrp91,true,45,-0.4172339735019424
dgrp91,true,46,0.5859238461547522
dgrp91,true,47,0.10909090909090909
dgrp91,true,48,-0.2658148763834387
dgrp91,true,9,-0.16173732100068577
dnc1,false,17,-0.015299110161071834
dnc1,false,18,0.18239396985974643
dnc1,false,19,-0.6988416447352386
dnc1,false,20,0.28127804372943405
dnc1,false,21,0.26158905936766397
dnc1,false,22,0.20964416590955637
dnc1,false,23,-0.008975416974838751
dnc1,false,24,0.6677090564216608
dnc1,false,49,0.15774256480239
dnc1,false,50,0.3391830565022552
dnc1,false,51,-0.06218728003365062
dnc1,false,52,-0.2945113246014261
dnc1,false,53,-0.7969230741641677
dnc1,false,54,-0.13026613155064112
dnc1,false,55,0.016467073988563216
dnc1,false,56,-0.6898298485156196
dnc1,false,25,0.2742382794697693
dnc1,false,26,-0.24769929937831828
dnc1,false,27,-0.5142438655670801
dnc1,false,28,-0.42384323888621733
dnc1,false,29,-0.38329836622918645
dnc1,false,30,0.7176165552784164
dnc1,false,31,-0.6069185020536543
dnc1,false,32,0.09118710295347826
dnc1,false,57,-0.011250107715465058
dnc1,false,58,-0.15045818674042055
dnc1,false,59,-0.20024985986270627
dnc1,false,60,0.1007517479068846
dnc1,false,61,0.10294651407849245
dnc1,false,62,0.4013529919493518
dnc1,false,63,0.1198575972180298
dnc1,false,64,-0.26136596019405267
dnc1,true,1,0.5351260605587248
dnc1,true,2,-0.1565900178643122
dnc1,true,3,0.18024482976541198
dnc1,true,33,0.1770408061674681
dnc1,true,34,0.494477793976367
dnc1,true,36,-0.27957354266119927
dnc1,true,37,0.7778552867998991
dnc1,true,38,-0.3923538282329912
dnc1,true,39,-0.33908264822441814
dnc1,true,4,-0.06626748131045977
dnc1,true,40,0.04471854101250136
dnc1,true,5,0.026145105412400366
dnc1,true,6,-0.3368825921798261
dnc1,true,7,0.13990129723929048
dnc1,true,8,0.3356446913797859
dnc1,true,10,0.4493233469725326
dnc1,true,11,-0.0210005113939844
dnc1,true,12,-0.35721844801329206
dnc1,true,13,0.7091887269282011
dnc1,true,14,0.10058894306122462
dnc1,true,15,0.1944398156192912
dnc1,true,16,-0.6622926670086773
dnc1,true,41,-0.079933285741704
dnc1,true,42,-0.12144704243302265
dnc1,true,43,-0.22784465793475941
dnc1,true,44,0.1525252907808493
dnc1,true,45,-0.6351867469625825
dnc1,true,46,-0.07584982263854868
dnc1,true,47,-0.05468640727799541
dnc1,true,48,-0.04338722579160263
dnc1,true,9,-0.23204144733770093
dgrp195,false,17,0.0567300411805124
dgrp195,false,18,0.5508309391355447
dgrp195,false,19,0.30366680650901623
dgrp195,false,20,0.26073853682430953
dgrp195,false,21,0.039208598031014494
dgrp195,false,22,0.3052729335216944
dgrp195,false,23,0.3263206001457312
dgrp195,false,24,0.11553274492268009
dgrp195,false,49,0.3533500310081081
dgrp195,false,50,0.21960894667633996
dgrp195,false,51,0.5054601826328098
dgrp195,false,53,-0.6505421376133149
dgrp195,false,54,0.4246206364544132
dgrp195,false,55,-0.338335475755833
dgrp195,false,56,-0.5462017451904262
dgrp195,false,25,-0.07603687226361103
dgrp195,false,26,0.03105713086932553
dgrp195,false,27,-0.5432544643529988
dgrp195,false,28,-0.2852950158875231
dgrp195,false,29,-0.0303030303030303
dgrp195,false,30,-0.48077074475387815
dgrp195,false,31,0.45210553155337824
dgrp195,false,32,0.0787878787878788
dgrp195,false,57,0.2865764525745499
