DGRP	en_s	en_ns	LSM	kl	hell	jsd	centered_kl	centered_hell	centered_jsd
DGRP_310	-0.339333499193336	-0.423418214712482	0.105539849	0.194894286221908	0.0458003485521753	0.212075858111889	0.434461579714171	0.0471625423717648	0.193312035070475
DGRP_313	-0.76308508628673	-1.251790753122	0.04857004	1.08867109178966	0.121126709283353	0.321932964325187	0.306298494624368	0.10119463346288	0.133741770351749
DGRP_317	-0.773766602617898	-1.21229807597386	0.021292038	1.74497546564205	0.149105666273652	0.351832333579492	0.488566410059601	0.0665703536123092	0.157411663076833
DGRP_318	-0.518975467852265	-0.909923149985921	0.046850298	1.17651233776205	0.131158760644889	0.33206121120959	0.0553183729722558	0.192452008476239	0.120589474547769
DGRP_319	-0.723739736637739	-1.00258119157384	0.017635555	0.259246799957966	0.0490864591082864	0.216026268305218	0.0953763100917099	0.0421773378956638	0.111477587662366
DGRP_032	-0.787871804036013	-1.36298794266261	0.062768108	3.60678307216754	0.204938283256341	0.406982665445075	0.695990834002796	0.133623985015837	0.214472630395743
DGRP_321	-0.716646133290231	-0.739572888578327	0.054477926	0.148633844500432	0.0332858380423667	0.180844467355073	0.0735700865046	0.0178822120218148	0.113823751095447
DGRP_338	-0.836075105298333	-1.29663442572624	0.033063268	1.34554182388149	0.109309779460625	0.299316697530965	0.16822200273711	0.0736976853044686	0.150166213209341
DGRP_354	-0.81364579495413	-0.699536602130687	0.031390712	0.0745898592514252	0.0215062340041902	0.143314351284812	-0.00231100039731875	0.0104783831982419	0.0814421863688889
DGRP_362	-1.18889910292067	-0.830729945650685	0.209156825	3.94454954653232	0.479905665488512	0.611614695180843	0.107507361254873	0.0697850432341102	0.106676910164713
DGRP_373	-0.655397023999466	-0.903338731480613	0.001017267	0.250480336951434	0.0419954095632404	0.197483727651925	-0.0263544856485677	0.0502248471547897	0.116629457485497
DGRP_380	-0.792013714742829	-0.842857867430324	0.001495116	0.072043268430555	0.0222124152893464	0.138920799037909	0.0363595543793277	0.0231763140967571	0.120117068889466
DGRP_382	-0.715587370502138	-0.844951547846195	0.066076916	0.650349082551702	0.0950792702176131	0.288511442749739	0.0669001535231699	0.0264955867024803	0.0813305037044437
DGRP_385	-0.457411926929917	-1.06505115385054	2.06420688861388e-05	1.56818691675012	0.147961195449723	0.350123383042796	0.404563511047408	0.173473770392322	0.19936330782176
DGRP_386	-0.82231578247297	-0.665283592419998	0.021771056	0.140806389407379	0.0461297224683237	0.203430500079581	0.142389910622824	0.0367932476420324	0.179239592705261
DGRP_390	-0.887026753925773	-0.827275622295847	-0.003209602	0.113430664297964	0.0369825194877329	0.176859983858507	0.0529377254040326	0.0438343346067861	0.152413550468668
DGRP_391	-0.795990524209747	-1.04919441584687	0.018335693	0.48605185544584	0.0647891667230509	0.238680541926791	0.0286029237310011	0.0339456494240068	0.0643331533048673
DGRP_392	-0.760849537832367	-1.05484260961815	0.030741948	0.497487364430078	0.062686052078244	0.231433038901459	0.183978798443242	0.0571884089933727	0.136994438424209
DGRP_395	-0.781131222696514	-0.715792661818353	0.124494967	1.0140603685745	0.20988626558241	0.442546635855215	0.235238624132974	0.0302271532714784	0.138634932440198
DGRP_405	-0.674184403773454	-0.663642111010997	0.103242678	0.562793935662338	0.111787741035816	0.320829125154548	0.0799190479404138	0.0182024145408218	0.122733385646436
DGRP_437	-0.865270371796647	-1.06334214370002	0.001133725	0.480064361899031	0.0746670076436285	0.257829740629751	0.621817300347925	0.0725109858383489	0.232491168649434
DGRP_440	-0.588042219957886	-0.895706602445746	0.074690798	0.778343931834037	0.111974369360279	0.313872299351468	0.261597170001033	0.0790244265094262	0.185645556022561
DGRP_486	-1.06169955601386	-0.81638845508173	0.122783	0.858896107890245	0.201368835090203	0.427567672173609	0.235978470177701	0.0788343540187525	0.144042486045364
DGRP_491	-0.837259246462003	-1.30135394644441	0.033841139	1.01360609042936	0.118792301126539	0.320146086410788	0.28269725624443	0.0825996878147582	0.181464655848318
DGRP_502	-0.680737016077011	-0.83005516517774	0.007891159	0.154873750899515	0.0357309036926945	0.187175342560635	-0.00291401415708415	0.0304962411995879	0.108361995346426
DGRP_505	-0.75649567972479	-0.787124439560469	0.011323747	0.0620992299254528	0.0153368556832412	0.123414284718668	0.00285720008972085	0.0171007071526853	0.0807395375863293
DGRP_517	-0.89054901689014	-1.0420381096475	0.008850896	0.156433553332473	0.037664181073198	0.192837809652992	0.150494358431533	0.0349053794081214	0.16512011051792
DGRP_535	-0.794624012128117	-1.11634681583248	0.112586295	3.01129387392647	0.220603578833165	0.418777781956845	0.26869228074332	0.109616731179553	0.206508555895869
