contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp855 - shock dgrp855,0.057695301,0.027471504,5024.174468,2.10018719,1,dgrp855,NA
noShock dgrp859 - shock dgrp859,0.103812727,0.028386737,5043.684507,3.657085555,0.645958862,dgrp859,NA
noShock dgrp861 - shock dgrp861,0.08268197,0.027356728,5016.971439,3.022363224,0.990699979,dgrp861,NA
noShock dgrp879 - shock dgrp879,0.139857943,0.027746183,5034.727337,5.040619164,0.005913239,dgrp879,NA
noShock dgrp884 - shock dgrp884,0.026231782,0.027155206,5012.127378,0.965994594,1,dgrp884,NA
noShock dgrp892 - shock dgrp892,0.025939743,0.027586651,5024.626858,0.94030054,1,dgrp892,NA
noShock dgrp897 - shock dgrp897,0.086685962,0.028169534,4979.426102,3.077294874,0.984514899,dgrp897,NA
noShock dgrp91 - shock dgrp91,-0.074555683,0.02746872,5033.998922,-2.714202995,0.999810776,dgrp91,NA
noShock dgrp911 - shock dgrp911,-0.014073431,0.027469411,5026.079577,-0.512331016,1,dgrp911,NA
noShock dgrp913 - shock dgrp913,0.066523363,0.027679587,5032.984249,2.403336494,0.999999651,dgrp913,NA
noShock dgrp93 - shock dgrp93,0.073402545,0.027681889,5033.279169,2.651645096,0.999933594,dgrp93,NA
noShock dnc1 - shock dnc1,0.008432217,0.027691908,5015.40516,0.304501127,1,dnc1,NA
noShock ee5 - shock ee5,-0.011767969,0.027696181,5017.618464,-0.424895015,1,ee5,NA
