"treatment","genotype","emmean","SE","df","lower.CL","upper.CL"
"52","shock","dgrp338",0.259556670827039,0.0200302615503444,358.155733271759,0.220164965804873,0.298948375849205
"53","noShock","dgrp354",0.312062175863337,0.0226230073957373,548.70177136847,0.267623874822558,0.356500476904116
"54","shock","dgrp354",0.280671464175544,0.0207094096668484,232.195825013303,0.239869097207971,0.321473831143116
"55","noShock","dgrp362",0.330875622973823,0.0218580352744879,484.066366252755,0.287927277281348,0.373823968666298
"56","shock","dgrp362",0.121718797825886,0.0207241467897353,392.826919770453,0.0809746840060394,0.162462911645733
"57","noShock","dgrp373",0.298296062055045,0.0200141355508801,343.715996309671,0.258930463504782,0.337661660605309
"58","shock","dgrp373",0.297278794561077,0.0199902429950048,342.214085369381,0.257959580296022,0.336598008826131
"59","noShock","dgrp380",0.275867771883982,0.0208713714032421,414.943386081172,0.234840969098532,0.316894574669433
"60","shock","dgrp380",0.274372655402436,0.0205004717274932,396.041400713954,0.23406930244097,0.314676008363901
"61","noShock","dgrp382",0.300295505903903,0.0203082534117575,365.772075797103,0.260359918819471,0.340231092988334
"62","shock","dgrp382",0.234218589633085,0.0203014009830861,365.438202107357,0.19429635656846,0.27414082269771
"63","noShock","dgrp385",0.300249927305766,0.0199826305691411,344.463788498468,0.260946597062581,0.339553257548951
"64","shock","dgrp385",0.30022928523688,0.0203905490926663,365.302952824099,0.260131695159588,0.340326875314172
"65","noShock","dgrp386",0.302409914506793,0.0200145803372578,346.454871981145,0.263044540706271,0.341775288307316
"66","shock","dgrp386",0.28063885872312,0.0200004409016735,342.818475456397,0.241299832126184,0.319977885320056
"67","noShock","dgrp390",0.254887135980037,0.0206405068491637,376.356929523355,0.214301971403332,0.295472300556741
"68","shock","dgrp390",0.258096737565731,0.0203013229457778,365.46893658497,0.218174669114907,0.298018806016556
"69","noShock","dgrp391",0.288868898165695,0.021771737751226,417.213521050894,0.246072928648579,0.33166486768281
"70","shock","dgrp391",0.270533204722716,0.0206723647733635,388.893439310473,0.229889625036766,0.311176784408666
"71","noShock","dgrp392",0.290067777455726,0.0198996755291451,352.989192299902,0.250930941999669,0.329204612911784
"72","shock","dgrp392",0.259325829021931,0.0200168448730817,357.896826466453,0.219960412814262,0.298691245229599
"73","noShock","dgrp395",0.320659753364952,0.0200075439659854,343.24176580253,0.281306927622086,0.360012579107818
"74","shock","dgrp395",0.19616478608126,0.0207597546113972,398.59047871719,0.155352490261994,0.236977081900525
"75","noShock","dgrp405",0.292141365868614,0.0203481499950318,362.015688718622,0.25212594495758,0.332156786779648
"76","shock","dgrp405",0.188898687709738,0.0199712910972142,340.970985085866,0.149616242054072,0.228181133365404
